ticker,roic_years,avg,trend,trend_detail,passed
PBYI,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=PBYI&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
RIGL,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=RIGL&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
RMNI,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=RMNI&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
SBC,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=SBC&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
SSTK,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=SSTK&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
SIGA,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=SIGA&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
SIRI,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=SIRI&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
STRA,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=STRA&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
CI,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=CI&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
TNET,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=TNET&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
UPWK,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=UPWK&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
VSNT,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=VSNT&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
XPOF,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=XPOF&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
YELP,0,,error,"Client error '402 Payment Required' for url 'https://financialmodelingprep.com/stable/key-metrics?symbol=YELP&period=annual&limit=10&apikey=uoatIeVZHTUxaofxiJ2HDZF9BX9sz9RH'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402",False
